LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-121.6461331,36.7082169,1531,MCKINNON STREET,C,Salinas,,,93906,,46a6ea62641c0d1c
-121.7986551,36.6446931,0,ARNHEM ROAD,,Seaside,,,93955,,8742be04f1951ec6
-121.6454629,36.6988774,216,ANGELUS DRIVE,,Salinas,,,93906,,de2f314fe1ccf134
-121.8207128,36.6386982,103,LEYTE ROAD,,Seaside,,,93955,,83caac8afccb02d8
-121.6461331,36.7082169,1519,MCKINNON STREET,M,Salinas,,,93906,,a8ac1dc8c998ce76
-121.654916,36.722034,2073,SANTA RITA STREET,189,Salinas,,,93906,,1404845164d1a824
-121.6461331,36.7082169,1519,MCKINNON STREET,F,Salinas,,,93906,,8244f8746e81b382
-121.6461331,36.7082169,1519,MCKINNON STREET,K,Salinas,,,93906,,b0a3c026c9efddc0
-121.6461331,36.7082169,1519,MCKINNON STREET,C,Salinas,,,93906,,74095f1130c17f0c
-121.6461331,36.7082169,1519,MCKINNON STREET,O,Salinas,,,93906,,7be86f50086992c6
-121.6461331,36.7082169,1519,MCKINNON STREET,L,Salinas,,,93906,,ad697bbc14f2e688
-121.8640042,36.5345351,7026,,20,Carmel,,,93923,,c2f92ac7a7995b9a
-121.6328919,36.6760439,68,N PEARL STREET,C\A,Salinas,,,93905,,4321faaa040eaed8
-121.6407872,36.704315,417,PIKE WAY,,Salinas,,,93906,,9278d1596c8b6a64
-121.8802962,36.5948414,1150,SEVENTH STREET,,Monterey,,,93940,,e6d1916d0819900a
-121.3324273,36.4444211,9644,SIERRA MADRE COURT,,Soledad,,,93960,,7cf633fce1ef0160
-121.6228512,36.7008963,1519,LITTLE RIVER DRIVE,,Salinas,,,93906,,0204a8ab64028d84
-121.654916,36.722034,2073,SANTA RITA STREET,158,Salinas,,,93906,,fafebdf416a1d8f4
-121.6444388,36.6578565,1114,SAN MARCOS DRIVE,,Salinas,,,93901,,4f1a67fde0f5e856
